game_id,game_name,name_in_vg,estimated_revenue,estimated_units_sold,number_of_reviews,steam_rating
65600,Gothic 3: Forsaken Gods Enhanced Edition,NULL,NULL,NULL,NULL,NULL
674250,Resurgence: Earth United,NULL,NULL,NULL,NULL,NULL
439250,Space Pilgrim Episode III: Delta Pavonis,Space Pilgrim Episode III: Delta Pavonis,227000,215000,359,0.8640000000000001
1788650,Alchera,Alchera,744,90,3,0.667
1239710,Draco VR Dragon Sim,NULL,NULL,NULL,NULL,NULL
1275060,Farm Builder,Farm Builder,893,330,11,0.636
940350,Snakest,Snakest,607,414,17,0.47100000000000003
868060,Immortal Darkness: Curse of The Pale King,Immortal Darkness: Curse of The Pale King,13,1,47,0.851
1284550,Geometric Feel the Beats,Geometric Feel the Beats,1,1,42,0.7859999999999999
924670,Need for Spirit: Drink & Drive Simulator/醉驾模拟器,NULL,NULL,NULL,NULL,NULL
598590,Escape 2042 - The Truth Defenders,Escape 2042 - The Truth Defenders,2,533,11,0.818
620050,Start10,Start10,9,2,65,0.585
211208,VectorMan 2,Vectorman 2,243,158,3,1.0
454330,A Room Beyond,A Room Beyond,6,1,24,0.792
1723050,Escape Ninja,NULL,NULL,NULL,NULL,NULL
959710,the earth is a better person than me,the earth is a better person than me,1,350,12,0.917
1140060,War Ghost,WAR GHOST,266,128,4,0.5
1644920,Love in Belarus,Love in Belarus,1,1,53,0.868
957070,iB Cricket,iB Cricket,74,3,112,0.955
1270780,Elemental Defenders TD,NULL,NULL,NULL,NULL,NULL
1702210,Piecewise: build chat bots with blocks,NULL,NULL,NULL,NULL,NULL
1302270,F29 Retaliator,F29 Retaliator,1,240,8,1.0
974930,Eternal Realm II: Dark Matter,Eternal Realm II: Dark Matter,0,0,0,0.0
676030,Eternal Starlight VR,Eternal Starlight VR,24,1,58,0.948
1165280,Shuffle World,Shuffle World,207,326,14,0.5710000000000001
1095120,Helheim Hassle,Helheim Hassle,75,6,205,0.932
1245470,Ultimate Ski Jumping 2020,Ultimate Ski Jumping 2020,9,1,61,0.77
839770,Phoenix Point,Phoenix Point,3800000,149000,4975,0.7240000000000001
1874660,浮生箓 Floating Life,NULL,NULL,NULL,NULL,NULL
562640,Introvert Quest,Introvert Quest,13,4,115,0.722
360840,Lumini,Lumini,94,10,154,0.87
1007890,VR Paper Star,NULL,NULL,NULL,NULL,NULL
1030840,Mafia: Definitive Edition,Mafia: Definitive Edition,25200000,1600000,54529,0.868
1234450,EDGE OF DAWN,EDGE OF DAWN,12,1,41,0.317
890130,Pawn of the Dead,Pawn of the Dead,5,1,52,0.9420000000000001
1093880,XWallpaper,XWallpaper,16,5,151,0.503
1896980,The Chronicles of Hercules II - Wrath of Kronos,The Chronicles of Hercules II - Wrath of Kronos,849,180,6,0.833
368730,No Time To Explain Remastered,No Time To Explain Remastered,4500000,431000,2393,0.7909999999999999
1041300,Human Sacrifice,Human Sacrifice,1,208,7,0.429
572620,Pierhead Arcade 2,Pierhead Arcade 2,36,4,135,0.8440000000000001
1581500,Dragon Drop,Dragon Drop,5,1,45,1.0
318260,Supreme: Pizza Empire,Supreme: Pizza Empire,49,5,111,0.649
821880,Idol Manager,Idol Manager,1400000,96,3205,0.885
886360,Casino Mega Collection,Casino Mega Collection,2,555,32,0.563
1408480,Sneaky Kitten,Sneaky Kitten,1,270,9,0.778
696760,HoloLAB Champions,HoloLAB Champions,3,672,24,0.875
780210,Freeways,Freeways,113000,35,1258,0.851
451600,CounterAttack,CounterAttack,70,9,261,0.9079999999999999
1109350,ANCIENT SOULS : The Governor,NULL,NULL,NULL,NULL,NULL
781240,Mystical,Mystical Lights,1,870,27,0.556
929570,A Familiar Fairytale Dyslexic Text Based Adventure,NULL,NULL,NULL,NULL,NULL
1165460,Unlit,Unlit,527,60,2,0.5
485980,Syrian Warfare,Syrian Warfare,1100000,105000,4197,0.866
1514480,Lucid Cycle,Lucid Cycle,4,1,60,0.733
1453640,Valthirian Arc: Hero School Story 2,Valthirian Arc: Hero School Story 2,11,1,42,0.643
1389360,Mech Armada,Mech Armada,155000,13,439,0.8220000000000001
429480,Vision Runner,Vision Runner,4,552,11,0.364
1368400,Pombero - The Lord of the Night,NULL,NULL,NULL,NULL,NULL
1005050,Fabulous - Angela's True Colors,Fabulous - Angela's True Colors,12,1,50,0.9
529040,Fine China,Fine China,760,555,12,0.75
694070,BadLands RoadTrip,BadLands RoadTrip,3,524,13,0.615
1311210,Virus Madness - Dungeons of your Body,Virus Madness - Dungeons of your Body,210,60,2,0.5
1453660,Mana Gloom,Mana Gloom,508,120,4,1.0
587580,Nature Treks VR,Nature Treks VR,80,10,278,0.8490000000000001
294440,Shadowgate,Shadowgate,1100000,109000,644,0.866
1309290,Shadow of Valhalla,Shadow of Valhalla,15,1,35,0.8
364980,Bunker Constructor,Bunker Constructor,3,1,23,0.609
269250,WORLD END ECONOMiCA episode.01,WORLD END ECONOMiCA episode.01,315000,35,673,0.847
1228870,Bartlow's Dread Machine,Bartlow's Dread Machine,18,1,60,0.883
633660,Onimod Land,Onimod Land,5,783,17,0.8240000000000001
1274280,Blue Flame,Blue Flame,1,240,8,1.0
1127500,Mini Motorways,Mini Motorways,3600000,472000,15748,0.961
508650,Signal Decay,Signal Decay,23,2,64,0.813
358700,3d Bridges,3d Bridges,10,1,26,0.385
656740,Cosmonator,Cosmonator,12,2,87,0.8740000000000001
1047950,GUILT: The Deathless,GUILT: The Deathless,18,1,44,0.818
1076100,Illusion of L'Phalcia,Illusion of L'Phalcia,2,296,8,0.75
648150,Arcsaber VR,Arcsaber VR,18,30,1,1.0
630900,Illwinter's Floorplan Generator,Illwinter's Floorplan Generator,50,10,415,0.925
883160,Legend of Dragon Labyrinth,Legend of Dragon Labyrinth,0,0,0,0.0
783840,Lakeview Valley,Lakeview Valley,238000,22,614,0.8440000000000001
1487140,Ochitsubaki,Ochitsubaki,1,120,4,0.75
1696810,RAILROADS Online!,NULL,NULL,NULL,NULL,NULL
1178000,Ghost Dimension,Ghost Dimension,804,870,29,1.0
1138580,Farmington County: The Ultimate Farming Tycoon Simulator,NULL,NULL,NULL,NULL,NULL
1581240,Der Geisterjäger / The Ghost Hunter,Der Geisterjäger / The Ghost Hunter,4,300,10,1.0
1751990,Table Gun,Table Gun,120,90,3,1.0
1445500,CITY - 909,CITY - 909,842,120,4,1.0
404530,Voxel Turf,Voxel Turf,128000,21,521,0.8690000000000001
1137650,Switchblade,NULL,NULL,NULL,NULL,NULL
461550,Typing Instructor Platinum 21 - Mac,Typing Instructor Platinum 21 - Mac,0,0,0,0.0
1408380,RGB Simulator,RGB Simulator,114,90,3,0.667
1049690,Catch the Head,Catch the Head,4,360,8,1.0
612840,Boxplosion,Boxplosion,2,495,11,0.909
243890,Mavis Beacon Teaches Typing Family Edition,Mavis Beacon Teaches Typing Family Edition,25,1,25,0.48
428410,PRiO,NULL,NULL,NULL,NULL,NULL
988110,Breacher Story,Breacher Story,1,245,8,0.75
1921760,Pocket Academy,Pocket Academy,24,3,121,0.934
622460,Steampunk Tower 2,Steampunk Tower 2,93,17,317,0.773
883130,New Star Manager,New Star Manager,90,6,411,0.873
913570,Cave under Richmordnom,Drymir Cave under Richmordnom,113,102,3,0.667
1930230,The Hole,NULL,NULL,NULL,NULL,NULL
351490,Intergalactic Bubbles,Intergalactic Bubbles,210000,201000,1159,0.7959999999999999
378360,Ymir,Ymir,795000,29,993,0.748
1273450,Selfless Heroes,Selfless Heroes,4,1,40,0.825
1059660,Life Combinations,Life Combinations,541,182,5,0.8
820830,The famous diver,The famous diver,792,387,14,0.857
668290,From Orbit,From Orbit,2,278,10,0.5
646100,Woodlands,Woodlands,72,13,308,0.299
1382310,Splinter,Tom Clancy's Splinter Cell Blacklist,23600000,1200000,17429,0.82
1944970,Hidden Farm Top-Down 3D,Hidden Farm Top-Down 3D,5,1,46,0.413
1534240,Drop Blox,Drop Blox,876,150,4,0.25
1339310,Solitaire 3D,Solitaire 3D,3,330,11,1.0
575800,Arizona Rose and the Pharaohs' Riddles,Arizona Rose and the Pharaohs' Riddles,3,455,10,0.7
1968280,AvatarShop,NULL,NULL,NULL,NULL,NULL
634120,Inmates,Inmates,37,6,278,0.583
1843230,Win by Definition,Win by Definition,432,60,2,1.0
1434550,Zeltrus,Zeltrus,48,30,1,1.0
316260,Disney Universe,Disney Universe,121000,10,277,0.8340000000000001
604040,Legion Tale,Legion Tale,2,688,16,0.75
1050170,Terramancer,Terramancer,518,60,2,0.5
1546120,Void Explorer,Void Explorer,60,90,3,1.0
762850,Cubit,Excubitor,26,2,29,0.655
1939600,Sillage,Sillage,690,150,5,0.8
437530,A Blind Legend,A Blind Legend,66,13,242,0.789
1583650,Beautiful Girls,Hentai beautiful girls,1,2,87,0.782
526130,Sky Sanctuary,Sky Sanctuary,10,1,45,0.889
1651880,Welcome To Lakewood,Welcome To Lakewood,180,270,9,0.778
311120,The Stalin Subway: Red Veil,The Stalin Subway: Red Veil,42,26,523,0.478
410670,Suits: A Business RPG,Suits: A Business RPG,30,46,889,0.884
1131410,Sable's Grimoire: Man And Elf,Sable's Grimoire: Man And Elf,6,1,48,1.0
1417890,Catie in MeowmeowLand,Catie in MeowmeowLand,23,2,74,0.946
2006770,180 SECONDS,180 SECONDS,1,210,7,1.0
1583840,R-Naught,R-Naught,456,60,2,1.0
516940,MineSweeper VR,MineSweeper VR,10,3,42,0.81
1304320,重装无限·Metal Infinite,重装无限·Metal Infinite,1,1,41,0.732
1471960,Room to Grow,Room to Grow,25,4,139,0.9640000000000001
1350540,Rebel Reenactment: Battle of the Wilderness,Rebel Reenactment: Battle of the Wilderness,1,360,12,0.833
1512910,Power Ball 2021,Power Ball 2021,86,90,3,0.33299999999999996
511110,DodgeBall Blitz,DodgeBall Blitz,0,0,0,0.0
1578750,Endless Furry Asteroids,Endless Furry Asteroids,42,60,2,1.0
1674300,Ablockalypse,Ablockalypse,0,0,0,0.0
465750,Tank Battle: North Africa,Tank Battle: North Africa,57,7,34,0.765
1053660,Chaos Starter,Chaos Starter,928,1,47,0.5529999999999999
605490,One Hit KO,One Hit KO,2,478,10,0.8
1253320,Seconds in Space,Seconds in Space,240,30,1,1.0
448960,"I, Hope","I, Hope",11,1,35,0.8
1129660,Runefall 2,Runefall 2,6,1,45,0.778
1550750,Siren Head Hentai Edition,Siren Head Hentai Edition,2,3,119,0.773
1787520,Resonance Wars,Resonance Wars,133,60,2,1.0
1095140,PrimeOrbial,PrimeOrbial,568,142,4,1.0
973410,The Elementalist,The Elementalist,1,306,9,1.0
1563100,Nightmare Survival,Nightmare Survival,144,270,9,0.556
1853200,TYRONE vs COPS,TYRONE vs COPS,38,51,1701,0.955
1953220,Gem Tower Defense 2,Gem Tower Defense 2,288,120,4,0.5
1094250,It Stares Back,It Stares Back,10,2,86,0.977
536660,JCB Pioneer: Mars,JCB Pioneer: Mars,90,4,148,0.439
362920,Atlantis 2: Beyond Atlantis,Atlantis 2: Beyond Atlantis,14,4,83,0.325
915760,Aether Drift,Aether Drift,1,142,3,1.0
1682030,Dire Vengeance,Dire Vengeance,5,330,11,1.0
416840,Color By,Pixel Art Monster - Color by Number,1,482,17,0.8240000000000001
529130,Expect The Unexpected,Expect The Unexpected,34,5,81,0.654
1730670,A Day in the Park,A Day in the Park,600,150,5,0.8
1535270,Vacation Adventures: Park Ranger 4,Vacation Adventures: Park Ranger 4,594,120,4,0.75
1945980,The Rusty Sword: Vanguard Island,The Rusty Sword: Vanguard Island,646,810,27,0.667
796580,100 Seconds,100 Seconds,180,45,1,0.0
1830050,September 28 Pizza,September 28 Pizza,171,120,3,0.667
691680,Ganbatte,Ganbatte,1,135,3,0.667
1798310,Imitating Zombies,Imitating Zombies,258,210,7,0.28600000000000003
2058120,Worm Runner,Worm Runner,397,690,23,0.609
399670,Game Corp DX,Game Corp DX,263000,134000,3049,0.878
559210,Rakuen,Rakuen,788000,112000,5374,0.965
227160,Kinetic Void,Kinetic Void,1300000,90,1549,0.17800000000000002
1331390,sfäre,sfäre,1,420,13,1.0
816490,Hidden Paws,Hidden Paws,33,17,683,0.88
1876060,Dark Hood,Dark Hood,24,30,1,0.0
336230,Way to Go!,Way to Go!,5,1,27,0.889
1029160,Sunset Planet,Sunset Planet,382,528,14,0.7859999999999999
1353870,WestLand Adventure,WestLand Adventure,1,720,23,0.478
975710,Qipa World-Hello Big Adventure,Qipa World-Hello Big Adventure,2,808,21,0.857
980940,My Little Blacksmith Shop,My Little Blacksmith Shop,181000,24,811,0.773
800510,RoboHeist VR,RoboHeist VR,2,295,7,0.5710000000000001
1692900,CS Horizon,CS Horizon,944,630,21,0.23800000000000002
1730160,MoveUp,MoveUp,158,90,3,1.0
34282,Shadow Dancer™,NULL,NULL,NULL,NULL,NULL
714820,Creature Romances: For the Ladies,Creature Romances: For the Ladies,2,1,34,0.853
1794300,BLUE WISH DESIRE,BLUE WISH DESIRE,7,1,39,1.0
1297010,Rinlo,Rinlo,9,930,31,0.8059999999999999
40800,Super Meat Boy,Super Meat Boy,19300000,2300000,31454,0.948
371450,Awe,Awesomenauts,8500000,1900000,26494,0.847
2023330,Fright Night,Fright Night Sex Fest,4,780,26,0.615
1870170,Emiko's Pledge,Emiko's Pledge,75,150,5,0.6
1348390,I am an Air Traffic Controller 4,I am an Air Traffic Controller 4,407000,10,339,0.838
1436280,Plan Z,Plan Z Chapter 1,839,1,18,0.444
1312000,Wrap It!,Wrap It!,122,120,4,1.0
42920,The Kings' Crusade,The Kings' Crusade,65,10,154,0.396
959540,Devil's Toy,Devil's Toy,1,712,25,0.6
1167650,Context,Context,36,60,2,0.5
939250,Dungeons and Dinners,Dungeons and Dinners,128,160,4,1.0
1600180,Solitaire Game Halloween 2,Solitaire Game Halloween 2,192,90,3,0.667
1941400,Tonikk Tycoon,Tonikk Tycoon,3,450,15,0.8
305490,Heileen 3: New Horizons,Heileen 3: New Horizons,216000,12,74,0.622
682280,Code 9,Code 9,290,128,3,1.0
648070,CrisisActionVR,NULL,NULL,NULL,NULL,NULL
1875470,Ninjas Against the Machines,Ninjas Against the Machines,307,60,2,1.0
810590,Area 86,Area 86,9,1,38,0.816
791320,Zahalia,Zahalia: The Knights of Galiveth,8,7,24,0.542
1598810,Life of Fly 2,Life of Fly 2,5,810,27,0.9259999999999999
1012390,Fruitlockers Reborn! 2,NULL,NULL,NULL,NULL,NULL
1029650,יום פתוח (Open Day),NULL,NULL,NULL,NULL,NULL
738030,Monjarmageddon,Monjarmageddon,572,244,7,0.857
764630,Alien Invaders from the Planet Plorth,Alien Invaders from the Planet Plorth,0,0,0,0.0
992990,Beyond Extinct,Beyond Extinct,7,870,27,0.9259999999999999
1365620,I'm a love interest in my childhood friend's reverse harem!!!,I'm a love interest in my childhood friend's reverse harem!!!,1,210,7,0.7140000000000001
905510,Rugosi,Rugosi,256,336,12,0.75
1710810,Legend Of The Ape,Legend Of The Ape,1,690,23,0.9570000000000001
1386980,PANIC STATION,PANIC STATION,1,1,53,0.47200000000000003
539750,Kombine,Kombine,21,34,108,0.787
1601680,The Advisor - Episode 1: Royal Pain,The Advisor - Episode 1: Royal Pain,33,15,515,0.9840000000000001
1753690,Faye: A Tale of Shadow,Faye: A Tale of Shadow,240,30,1,1.0
863230,Super Plexis,Super Plexis,8,1,47,0.915
1059370,IMPALE YOUR FRIENDS!,IMPALE YOUR FRIENDS!,432,124,4,1.0
1615560,Serpent Showdown,Serpent Showdown,0,0,0,0.0
486940,Handball Action Total,Handball Action Total,10,857,24,0.792
778860,Animals Memory: Insect,Animals Memory: Insect,835,1,32,0.813
876850,WhiteLily 1：丽丽公主,WhiteLily 1：丽丽公主,13,21,1212,0.946
676320,Letter-Setter,Letter-Setter,432,150,3,0.667
1684220,SEDOMAIRI / せどまいり,NULL,NULL,NULL,NULL,NULL
946360,inside path,inside path,0,0,0,0.0
513330,Party Tycoon,NULL,NULL,NULL,NULL,NULL
1367380,She Salutes,She Salutes,173,30,1,1.0
1034120,GACHIMUCHI The Card Game,GACHIMUCHI The Card Game,319,458,15,0.733
1713530,Station Commander,Station Commander,624,150,5,0.6
736430,Clicker bAdventure,Clicker bAdventure,3,1,84,0.28600000000000003
699510,The New California,NULL,NULL,NULL,NULL,NULL
1100180,Yousei Daisensou ~ Touhou Sangetsusei,NULL,NULL,NULL,NULL,NULL
959000,Edna & Harvey: The Breakout - Anniversary Edition,Edna & Harvey: The Breakout - Anniversary Edition,151000,13,444,0.919
1481960,Death off the Cuff,Death off the Cuff,342,180,6,0.833
376410,Acaratus,Acaratus,29,2,55,0.527
723110,Scrap Galaxy,Scrap Galaxy,4,688,16,0.75
226620,Desktop Dungeons,Desktop Dungeons,1500000,153000,1396,0.9
1108750,Timerunner,Timerunner,6,2,99,0.848
1768790,Edwardo,Edwardo,518,180,6,1.0
1471220,Timothy ティモシー -神秘の森-,Timothy ティモシー -神秘の森-,240,30,1,1.0
699080,Jake's Love Story,Jake's Love Story,5,2,125,0.8640000000000001
1068120,CrunchTime,CrunchTime,2,460,15,0.867
1153040,Primate Signal,Primate Signal,1,450,14,0.857
1658770,Grandmaster Chess,Grandmaster Chess,389,90,3,1.0
1061420,Obscure Doubt,Obscure Doubt,384,120,3,1.0
363180,Tenshu General,Tenshu General,15,3,31,0.645
1384350,Bricks Frenzy,Bricks Frenzy,1,420,13,0.846
618570,Pixel Arcade,Pixel Arcade,4,880,20,0.8
110600,Astro Tripper,Astro Tripper,37,11,62,0.5479999999999999
1471460,Dualism,Dualism,1,210,7,1.0
1284700,Panic Timing (惊恐计时),NULL,NULL,NULL,NULL,NULL
841600,Aura of Worlds,Aura of Worlds,27,3,82,0.951
1671180,Ricochet Ranger,Ricochet Ranger,828,360,12,1.0
2061060,The Marson Home,The Marson Home,960,150,5,0.6
1299120,Mosaique Neko Waifus 2,Mosaique Neko Waifus 2,91,73,2459,0.956
1303170,MelDEV Power Boat Racing,MelDEV Power Boat Racing,906,90,3,0.667
773530,Magic Nations - Card Game,Magic Nations - Card Game,20,3,121,0.711
1430100,Fade,Fade to Silence,981000,38,1196,0.63
1514160,Doctor Xenophon's Laboratory,Doctor Xenophon's Laboratory,0,0,0,0.0
404730,Wasteland 2: Director's Cut,Wasteland 2: Director's Cut,2100000,114000,2212,0.88
1674730,RGByte,NULL,NULL,NULL,NULL,NULL
301260,Gardens Inc. 2: The Road to Fame,Gardens Inc. 2: The Road to Fame,21,2,54,0.87
1866870,Honey Homer,Honey Homer,935,210,7,0.7140000000000001
510710,Bloxiq VR,Bloxiq VR,2,246,5,0.6
1273430,iota,NULL,NULL,NULL,NULL,NULL
556680,INTRUDER - WAR AREAS,INTRUDER - WAR AREAS,3,360,6,0.33299999999999996
910850,Darken VR,Darken VR,81,102,3,0.33299999999999996
1343450,Whiskers & Tail,Whiskers & Tail,192,60,2,1.0
1271620,Umihara Kawase BaZooKa!,NULL,NULL,NULL,NULL,NULL
1492290,Boulders: Puzzle,Boulders: Puzzle,108,240,8,1.0
1804390,Key,Do Not Feed the Monkeys,1700000,212000,8037,0.938
1091350,Valley Run,Valley Run,1,102,3,0.33299999999999996
1836500,Memory Puzzle - Hentai Angels,Memory Puzzle - Hentai Angels,182,150,5,0.4
813360,Space Duty,Space Duty,153,45,1,1.0
846220,Catsapults,Catsapults,348,115,3,1.0
1845880,SEARCH ALL - POTIONS,SEARCH ALL - POTIONS,702,810,27,0.963
291170,Royal Defense,Royal Defense,318000,84,337,0.7390000000000001
1162730,Deep Ocean Rush,Deep Ocean Rush,367,360,11,0.273
236490,Hexodius,Hexodius,44,7,43,0.605
1418650,Shooting Type,Shooting Type,0,0,0,0.0
1011320,Whiskey & Zombies: The Great Southern Zombie Escape,NULL,NULL,NULL,NULL,NULL
1002510,The Spell - A Kinetic Novel,NULL,NULL,NULL,NULL,NULL
346940,Shadowrun: Hong Kong - Extended Edition,Shadowrun: Hong Kong - Extended Edition,5400000,403000,4283,0.867
40420,Tidalis,Tidalis,215000,69,227,0.6559999999999999
1526480,battle Tank,NULL,NULL,NULL,NULL,NULL
288790,White Haven Mysteries,White Haven Mysteries,15,5,92,0.5429999999999999
434970,That Dam Level redux,That Dam Level redux,1,180,3,0.667
1811750,VELONE,VELONE,7,810,27,0.40700000000000003
283620,World of Subways 3 – London Underground Circle Line,World of Subways 3 – London Underground Circle Line,379000,25,590,0.741
1152410,Karate Cat,Karate Cat,2,3,87,0.9540000000000001
350970,Planet of the Eyes,Planet of the Eyes,193000,28,532,0.835
308560,City Quest,City Quest,34,5,42,0.762
1807610,Skeleton Scramble Deluxe,Skeleton Scramble Deluxe,1,780,26,1.0
1504570,Cultivation Tales,NULL,NULL,NULL,NULL,NULL
418650,Space Pirate Trainer,Space Pirate Trainer,2500000,224000,2750,0.9440000000000001
1064920,VR Party Pack,VR Party Pack,1,300,10,0.5
1088040,MMA Executive,MMA Executive,5,328,10,0.5
1418160,Happy Quest,Happy Quest,30,23,785,0.8290000000000001
1128420,Solitaire Jack Frost Winter Adventures,Solitaire Jack Frost Winter Adventures,424,106,4,0.75
313740,Sakura Spirit,Sakura Spirit,2400000,424000,7167,0.785
960820,Data mining 2,Data mining 2,940,920,30,0.5
1515820,Guns of Succubus,Guns of Succubus,7,1,57,0.877
237760,Intake,Intake,215000,31,395,0.927
1022480,KAMIKO,KAMIKO,18,5,153,0.882
532080,Apocalypse Mechanism,Apocalypse Mechanism,7,610,14,0.5
415780,Bacon Rebellion,Bacon Rebellion,2,870,29,0.9309999999999999
1166990,Kukoro: Stream chat games,Kukoro: Stream chat games,50,17,588,0.976
407420,Gabe Newell Simulator,Gabe Newell Simulator,8,4,640,0.503
391280,Epic Manager - Create Your Own Adventuring Agency!,NULL,NULL,NULL,NULL,NULL
1371730,A Little Bird,A Little Bird,1,180,5,0.8
461830,Adventure Apes and the Mayan Mystery,Adventure Apes and the Mayan Mystery,13,5,20,0.75
1376590,Sphere Game,Sphere Game,530,540,18,0.889
990840,Running Tadpoles,Running Tadpoles,315,444,11,0.545
1412580,Sword of Destiny,Sword of Destiny,5,4,142,0.873
889280,Marginalia,Marginalia,4,1,45,0.867
1600600,ZAR,Resident Evil 7 Biohazard,43600000,1500000,70294,0.95
869840,Feather Of Praying 羽翼的祈愿,Feather Of Praying 羽翼的祈愿,6,5,224,0.955
438490,GOD EATER 2 Rage Burst,GOD EATER 2 Rage Burst,10900000,339000,4104,0.7809999999999999
1187250,Consumed Awakening,Consumed Awakening,792,90,3,1.0
1541450,Must Reach,Must Reach,672,270,9,0.222
1495080,Asian Riddles 4,Asian Riddles 4,869,300,10,1.0
406930,Epic Showdown,Epic Showdown,10,2,43,0.37200000000000005
312540,Ys VI: The Ark of Napishtim,Ys VI: The Ark of Napishtim,851000,63,1042,0.898
1028340,Spare Teeth VR,Spare Teeth VR,1,300,10,0.8
368570,Beat Da Beat,Beat Da Beat,26,14,458,0.9279999999999999
270880,American Truck Simulator,American Truck Simulator,36500000,3000000,125148,0.966
959410,The Endless Empty,The Endless Empty,8,2,148,0.946
1273250,Breakpoint,Ghost Recon Breakpoint,4099999,154000,5144,0.624
913440,Mahjongg The Ultimate Collection 2,Mahjongg The Ultimate Collection 2,840,165,11,0.818
959050,Bound Up & Squirming!,Bound Up & Squirming!,3,1,32,0.938
991230,Highway of death,Highway of death,1,938,36,0.667
1580640,银魂：Silver Soul,银魂：Silver Soul,593,930,31,0.484
1808860,Pizza Man,Pizza Man,138,240,8,0.875
1338130,Popo's Tower,Sokpop S08: Popo's Tower,2,960,32,0.625
589220,UAYEB: The Dry Land - Episode 1,UAYEB: The Dry Land - Episode 1,86,4,81,0.642
993750,Girls & sweets,Girls & sweets,467,332,11,0.182
903790,Card Battle Spirit Link,Card Battle Spirit Link,720,90,3,1.0
1508980,Cheese Runner,Cheese Runner,1,600,20,1.0
1208040,Axiel,Axiel,0,0,0,0.0
408920,Krai Mira: Extended Cut,Krai Mira: Extended Cut,102000,14,241,0.602
1417190,Gravity Mummy,Gravity Mummy,2,1,37,0.6759999999999999
1386330,Funanigans: Party Games,NULL,NULL,NULL,NULL,NULL
1776860,Tank Sudoku,Tank Sudoku,108,30,1,1.0
1227000,Black Butterfly,Psychedelica of the Black Butterfly,354000,17,596,0.852
1285820,Virus Kombat,Virus Kombat,180,180,6,0.667
747110,Kamboja,Kamboja,240,99,5,0.8
733990,I Can't Believe It's Not Gambling,I Can't Believe It's Not Gambling GOTY Edition,45,59,1516,0.922
1998840,Arcadia,Legends of Talia: Arcadia,8,6,209,0.7559999999999999
704760,Grimrush,Grimrush,3,633,13,0.769
12670,Mission Runway,Mission Runway,8,1,21,0.619
765860,Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work,Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work,4,1,45,0.6890000000000001
1514580,The Great Chicken Thief,The Great Chicken Thief,156,60,2,0.5
1431040,Golazo! Soccer League,Golazo! Soccer League,35,5,186,0.8009999999999999
1579590,SDST: Deluxe,SDST: Deluxe,222,330,11,0.909
1553850,Tartaron,Tartaron,42,60,2,1.0
1875560,Mare,Little Nightmares,22600000,1800000,88043,0.9470000000000001
1143810,Black Skylands,Black Skylands,601000,42,1420,0.882
1321220,Real Farm – Gold Edition,Real Farm – Gold Edition,5,480,16,0.313
1500750,牛头人迷宫/Tauren maze,NULL,NULL,NULL,NULL,NULL
1819900,Shootvaders: The Beginning,Shootvaders: The Beginning,660,90,3,0.667
821860,Secret Laboratory,NULL,NULL,NULL,NULL,NULL
577850,Tiny Wheels,Tiny Wheels,2,1,28,0.821
1715970,ZEE.END,ZEE.END,12,1,35,0.4
1006920,Pull Ball,Pull Ball,248,398,14,0.857
1011310,PARSE ALLY,PARSE ALLY,340,150,6,0.33299999999999996
1669350,Fingun,Fingun,2,780,26,0.9229999999999999
1436810,The Door in the Basement,The Door in the Basement,26,3,118,0.907
2050890,ZombWave,ZombWave,0,0,0,0.0
1280780,War on the Sea,War on the Sea,1700000,65,2193,0.7759999999999999
1148680,Austerlitz,Austerlitz,240,60,2,1.0
1347390,Beaver Fun™ River Run - Steam Edition,Beaver Fun™ River Run - Steam Edition,186,60,1,1.0
460630,Trouble Witches Origin - Episode1 Daughters of Amalgam -,Trouble Witches Origin - Episode1 Daughters of Amalgam -,62,9,186,0.935
562050,Liquid Pinball,Liquid Pinball,3,6,100,0.7
613880,Zoo Tycoon: Ultimate Animal Collection,NULL,NULL,NULL,NULL,NULL
371710,Age of Castles: Warlords,Age of Castles: Warlords,5,2,62,0.32299999999999995
1959400,Arobynn: The First Adventure,Arobynn: The First Adventure,96,30,1,0.0
1420080,Wonder Boy: Asha in Monster World,Wonder Boy: Asha in monster world,81,3,117,0.8029999999999999
38160,Farm Frenzy 3: American Pie,NULL,NULL,NULL,NULL,NULL
703000,"Beer, Babes and Dragons","Beer, Babes and Dragons",560,200,4,1.0
1071220,"After I met that catgirl, my questlist got too long!","After I met that catgirl, my questlist got too long!",27,3,107,0.925
536430,The Revenge of Johnny Bonasera: Episode 1,The Revenge of Johnny Bonasera: Episode 1,14,4,60,0.85
1000040,细胞战争,细胞战争,64,40,1,0.0
380990,B.A.D Battle Armor Division,B.A.D Battle Armor Division,6,1,57,0.544
377010,Easy Spanish™ Platinum,Easy Spanish™ Platinum,0,0,0,0.0
1630760,Infinity Valley,Infinity Valley,227,180,5,1.0
327980,Dragon Fantasy: The Volumes of Westeria,Dragon Fantasy: The Volumes of Westeria,41,6,43,0.8370000000000001
266330,Ethan: Meteor Hunter,Ethan: Meteor Hunter,292000,45,232,0.616
1436990,Feign,Feign,270000,75,2501,0.895
654710,Ashes,Remnant: From the Ashes,26100000,895000,44230,0.85
868570,Prototype Mansion - Used No Cover,Prototype Mansion - Used No Cover,4,1,39,0.6920000000000001
